River,Gauge Site,Date,Upstream,Downstream
Chenab,Marala H/W,1-01-2017,4905,4905
Chenab,Marala H/W,2-01-2017,4905,4905
Chenab,Marala H/W,3-01-2017,4905,4905
Chenab,Marala H/W,4-01-2017,5193,5193
Chenab,Marala H/W,5-01-2017,5193,5193
Chenab,Marala H/W,6-01-2017,5193,5193
Chenab,Marala H/W,7-01-2017,5193,5193
Chenab,Marala H/W,8-01-2017,5630,5630
Chenab,Marala H/W,9-01-2017,5630,5630
Chenab,Marala H/W,10-01-2017,5630,5630
Chenab,Marala H/W,11-01-2017,5350,5350
Chenab,Marala H/W,12-01-2017,5350,5350
Chenab,Marala H/W,13-01-2017,5350,5350
Chenab,Marala H/W,14-01-2017,5350,5350
Chenab,Marala H/W,15-01-2017,5350,5350
Chenab,Marala H/W,16-01-2017,5700,5700
Chenab,Marala H/W,17-01-2017,5700,5700
Chenab,Marala H/W,18-01-2017,5135,5135
Chenab,Marala H/W,19-01-2017,5135,5135
Chenab,Marala H/W,20-01-2017,5687,5687
Chenab,Marala H/W,21-01-2017,5687,5687
Chenab,Marala H/W,22-01-2017,5687,5687
Chenab,Marala H/W,23-01-2017,5687,5687
Chenab,Marala H/W,24-01-2017,5687,5687
Chenab,Marala H/W,25-01-2017,6086,6086
Chenab,Marala H/W,26-01-2017,7616,7616
Chenab,Marala H/W,27-01-2017,32803,32803
Chenab,Marala H/W,28-01-2017,11484,11484
Chenab,Marala H/W,29-01-2017,7565,NIL
Chenab,Marala H/W,30-01-2017,9823,NIL
Chenab,Marala H/W,31-01-2017,12197,NIL
Chenab,Khanki H/W,1-01-2017,7797,200
Chenab,Khanki H/W,2-01-2017,7821,200
Chenab,Khanki H/W,3-01-2017,7897,197
Chenab,Khanki H/W,4-01-2017,8314,814
Chenab,Khanki H/W,5-01-2017,8528,814
Chenab,Khanki H/W,6-01-2017,7903,203
Chenab,Khanki H/W,7-01-2017,7073,200
Chenab,Khanki H/W,8-01-2017,12584,4884
Chenab,Khanki H/W,9-01-2017,12657,4857
Chenab,Khanki H/W,10-01-2017,9427,1628
Chenab,Khanki H/W,11-01-2017,10599,2799
Chenab,Khanki H/W,12-01-2017,9474,1628
Chenab,Khanki H/W,13-01-2017,7667,7667
Chenab,Khanki H/W,14-01-2017,5922,5922
Chenab,Khanki H/W,15-01-2017,5841,5841
Chenab,Khanki H/W,16-01-2017,5841,5841
Chenab,Khanki H/W,17-01-2017,5845,5845
Chenab,Khanki H/W,18-01-2017,5841,5841
Chenab,Khanki H/W,19-01-2017,5841,5841
Chenab,Khanki H/W,20-01-2017,5874,5874
Chenab,Khanki H/W,21-01-2017,5841,5841
Chenab,Khanki H/W,22-01-2017,5841,5841
Chenab,Khanki H/W,23-01-2017,5841,5841
Chenab,Khanki H/W,24-01-2017,5841,5841
Chenab,Khanki H/W,25-01-2017,5841,5841
Chenab,Khanki H/W,26-01-2017,5841,5841
Chenab,Khanki H/W,27-01-2017,31160,31160
Chenab,Khanki H/W,28-01-2017,27119,27119
Chenab,Khanki H/W,29-01-2017,14328,14328
Chenab,Khanki H/W,30-01-2017,6713,6713
Chenab,Khanki H/W,31-01-2017,2184,2184
Chenab,Qadirabad Barrage,1-01-2017,474,474
Chenab,Qadirabad Barrage,2-01-2017,474,474
Chenab,Qadirabad Barrage,3-01-2017,474,474
Chenab,Qadirabad Barrage,4-01-2017,474,474
Chenab,Qadirabad Barrage,5-01-2017,1026,1026
Chenab,Qadirabad Barrage,6-01-2017,1026,1026
Chenab,Qadirabad Barrage,7-01-2017,346,346
Chenab,Qadirabad Barrage,8-01-2017,1053,1053
Chenab,Qadirabad Barrage,9-01-2017,1053,1053
Chenab,Qadirabad Barrage,10-01-2017,4428,4428
Chenab,Qadirabad Barrage,11-01-2017,4428,4428
Chenab,Qadirabad Barrage,12-01-2017,2516,2516
Chenab,Qadirabad Barrage,13-01-2017,2516,2516
Chenab,Qadirabad Barrage,14-01-2017,11065,11065
Chenab,Qadirabad Barrage,15-01-2017,11065,11065
Chenab,Qadirabad Barrage,16-01-2017,11065,11065
Chenab,Qadirabad Barrage,17-01-2017,11065,11065
Chenab,Qadirabad Barrage,18-01-2017,11065,11065
Chenab,Qadirabad Barrage,19-01-2017,11065,11065
Chenab,Qadirabad Barrage,20-01-2017,11065,11065
Chenab,Qadirabad Barrage,21-01-2017,11065,11065
Chenab,Qadirabad Barrage,22-01-2017,11065,11065
Chenab,Qadirabad Barrage,23-01-2017,11065,11065
Chenab,Qadirabad Barrage,24-01-2017,11065,11065
Chenab,Qadirabad Barrage,25-01-2017,11065,11065
Chenab,Qadirabad Barrage,26-01-2017,9883,8383
Chenab,Qadirabad Barrage,27-01-2017,37434,29428
Chenab,Qadirabad Barrage,28-01-2017,52781,40781
Chenab,Qadirabad Barrage,29-01-2017,32525,19791
Chenab,Qadirabad Barrage,30-01-2017,25312,13312
Chenab,Qadirabad Barrage,31-01-2017,11125,NIL
Chenab,Trimmu H/W,1-01-2017,6190,NIL
Chenab,Trimmu H/W,2-01-2017,6166,NIL
Chenab,Trimmu H/W,3-01-2017,6190,NIL
Chenab,Trimmu H/W,4-01-2017,6190,NIL
Chenab,Trimmu H/W,5-01-2017,6185,NIL
Chenab,Trimmu H/W,6-01-2017,6190,NIL
Chenab,Trimmu H/W,7-01-2017,6175,NIL
Chenab,Trimmu H/W,8-01-2017,6190,NIL
Chenab,Trimmu H/W,9-01-2017,6181,NIL
Chenab,Trimmu H/W,10-01-2017,NIL,NIL
Chenab,Trimmu H/W,11-01-2017,4800,NIL
Chenab,Trimmu H/W,12-01-2017,4276,NIL
Chenab,Trimmu H/W,13-01-2017,4276,NIL
Chenab,Trimmu H/W,14-01-2017,4276,NIL
Chenab,Trimmu H/W,15-01-2017,3875,NIL
Chenab,Trimmu H/W,16-01-2017,3875,NIL
Chenab,Trimmu H/W,17-01-2017,7193,NIL
Chenab,Trimmu H/W,18-01-2017,10093,NIL
Chenab,Trimmu H/W,19-01-2017,11402,NIL
Chenab,Trimmu H/W,20-01-2017,11402,NIL
Chenab,Trimmu H/W,21-01-2017,11402,NIL
Chenab,Trimmu H/W,22-01-2017,11402,NIL
Chenab,Trimmu H/W,23-01-2017,12086,NIL
Chenab,Trimmu H/W,24-01-2017,12086,NIL
Chenab,Trimmu H/W,25-01-2017,12086,NIL
Chenab,Trimmu H/W,26-01-2017,12086,NIL
Chenab,Trimmu H/W,27-01-2017,12086,NIL
Chenab,Trimmu H/W,28-01-2017,12086,NIL
Chenab,Trimmu H/W,29-01-2017,37439,NIL
Chenab,Trimmu H/W,30-01-2017,27914,NIL
Chenab,Trimmu H/W,31-01-2017,19470,NIL
Chenab,Panjnad H/W,1-01-2017,4.5,NIL
Chenab,Panjnad H/W,2-01-2017,4.5,NIL
Chenab,Panjnad H/W,3-01-2017,Closed,NIL
Chenab,Panjnad H/W,4-01-2017,Closed,NIL
Chenab,Panjnad H/W,5-01-2017,Closed,NIL
Chenab,Panjnad H/W,6-01-2017,Closed,NIL
Chenab,Panjnad H/W,7-01-2017,Closed,NIL
Chenab,Panjnad H/W,8-01-2017,Closed,NIL
Chenab,Panjnad H/W,9-01-2017,Closed,NIL
Chenab,Panjnad H/W,10-01-2017,Closed,NIL
Chenab,Panjnad H/W,11-01-2017,Closed,NIL
Chenab,Panjnad H/W,12-01-2017,Closed,NIL
Chenab,Panjnad H/W,13-01-2017,Closed,NIL
Chenab,Panjnad H/W,14-01-2017,Closed,NIL
Chenab,Panjnad H/W,15-01-2017,Closed,NIL
Chenab,Panjnad H/W,16-01-2017,Closed,NIL
Chenab,Panjnad H/W,17-01-2017,Closed,NIL
Chenab,Panjnad H/W,18-01-2017,Closed,NIL
Chenab,Panjnad H/W,19-01-2017,Closed,NIL
Chenab,Panjnad H/W,20-01-2017,Closed,NIL
Chenab,Panjnad H/W,21-01-2017,Closed,NIL
Chenab,Panjnad H/W,22-01-2017,Closed,NIL
Chenab,Panjnad H/W,23-01-2017,Closed,NIL
Chenab,Panjnad H/W,24-01-2017,Closed,NIL
Chenab,Panjnad H/W,25-01-2017,Closed,NIL
Chenab,Panjnad H/W,26-01-2017,Closed,NIL
Chenab,Panjnad H/W,27-01-2017,Closed,NIL
Chenab,Panjnad H/W,28-01-2017,Closed,NIL
Chenab,Panjnad H/W,29-01-2017,Closed,NIL
Chenab,Panjnad H/W,30-01-2017,4.26,NIL
Chenab,Panjnad H/W,31-01-2017,4.26,NIL
Chenab,Marala H/W,1-02-2017,9977,NIL
Chenab,Marala H/W,2-02-2017,10335,NIL
Chenab,Marala H/W,3-02-2017,9907,NIL
Chenab,Marala H/W,4-02-2017,9920,NIL
Chenab,Marala H/W,5-02-2017,9781,NIL
Chenab,Marala H/W,6-02-2017,57037,40766
Chenab,Marala H/W,7-02-2017,30610,14810
Chenab,Marala H/W,8-02-2017,22439,6316
Chenab,Marala H/W,9-02-2017,19843,3158
Chenab,Marala H/W,10-02-2017,16875,NIL
Chenab,Marala H/W,11-02-2017,15298,NIL
Chenab,Marala H/W,12-02-2017,13479,1579
Chenab,Marala H/W,13-02-2017,11964,4737
Chenab,Marala H/W,14-02-2017,10392,3158
Chenab,Marala H/W,15-02-2017,10058,3158
Chenab,Marala H/W,16-02-2017,11800,4731
Chenab,Marala H/W,17-02-2017,11900,5000
Chenab,Marala H/W,18-02-2017,14810,5000
Chenab,Marala H/W,19-02-2017,13646,5000
Chenab,Marala H/W,20-02-2017,17131,8984
Chenab,Marala H/W,21-02-2017,22266,8984
Chenab,Marala H/W,22-02-2017,21891,8984
Chenab,Marala H/W,23-02-2017,21884,8984
Chenab,Marala H/W,24-02-2017,18072,5000
Chenab,Marala H/W,25-02-2017,14000,5000
Chenab,Marala H/W,26-02-2017,12335,5000
Chenab,Marala H/W,27-02-2017,11956,5000
Chenab,Marala H/W,28-02-2017,13551,5000
Chenab,Khanki H/W,1-02-2017,1963,1963
Chenab,Khanki H/W,2-02-2017,1409,1409
Chenab,Khanki H/W,3-02-2017,1107,1107
Chenab,Khanki H/W,4-02-2017,879,879
Chenab,Khanki H/W,5-02-2017,879,879
Chenab,Khanki H/W,6-02-2017,36040,36040
Chenab,Khanki H/W,7-02-2017,20448,20448
Chenab,Khanki H/W,8-02-2017,6214,6214
Chenab,Khanki H/W,9-02-2017,6306,6306
Chenab,Khanki H/W,10-02-2017,630,630
Chenab,Khanki H/W,11-02-2017,1360,1360
Chenab,Khanki H/W,12-02-2017,800,800
Chenab,Khanki H/W,13-02-2017,309,309
Chenab,Khanki H/W,14-02-2017,125,125
Chenab,Khanki H/W,15-02-2017,775,125
Chenab,Khanki H/W,16-02-2017,5760,2808
Chenab,Khanki H/W,17-02-2017,6047,1468
Chenab,Khanki H/W,18-02-2017,7716,2936
Chenab,Khanki H/W,19-02-2017,8218,2391
Chenab,Khanki H/W,20-02-2017,8189,2391
Chenab,Khanki H/W,21-02-2017,8178,2351
Chenab,Khanki H/W,22-02-2017,19121,13169
Chenab,Khanki H/W,23-02-2017,20603,14555
Chenab,Khanki H/W,24-02-2017,10495,4035
Chenab,Khanki H/W,25-02-2017,10872,4159
Chenab,Khanki H/W,26-02-2017,8404,1654
Chenab,Khanki H/W,27-02-2017,8419,1669
Chenab,Khanki H/W,28-02-2017,7166,200
Chenab,Qadirabad Barrage,1-02-2017,11355,NIL
Chenab,Qadirabad Barrage,2-02-2017,12000,NIL
Chenab,Qadirabad Barrage,3-02-2017,13926,NIL
Chenab,Qadirabad Barrage,4-02-2017,18150,NIL
Chenab,Qadirabad Barrage,5-02-2017,17000,NIL
Chenab,Qadirabad Barrage,6-02-2017,28323,8948
Chenab,Qadirabad Barrage,7-02-2017,51089,29089
Chenab,Qadirabad Barrage,8-02-2017,24347,2749
Chenab,Qadirabad Barrage,9-02-2017,17000,NIL
Chenab,Qadirabad Barrage,10-02-2017,20600,NIL
Chenab,Qadirabad Barrage,11-02-2017,16689,NIL
Chenab,Qadirabad Barrage,12-02-2017,18350,NIL
Chenab,Qadirabad Barrage,13-02-2017,19700,NIL
Chenab,Qadirabad Barrage,14-02-2017,17125,NIL
Chenab,Qadirabad Barrage,15-02-2017,17575,NIL
Chenab,Qadirabad Barrage,16-02-2017,19825,NIL
Chenab,Qadirabad Barrage,17-02-2017,20000,NIL
Chenab,Qadirabad Barrage,18-02-2017,18702,NIL
Chenab,Qadirabad Barrage,19-02-2017,19000,NIL
Chenab,Qadirabad Barrage,20-02-2017,21000,NIL
Chenab,Qadirabad Barrage,21-02-2017,21165,NIL
Chenab,Qadirabad Barrage,22-02-2017,27399,5399
Chenab,Qadirabad Barrage,23-02-2017,27399,5399
Chenab,Qadirabad Barrage,24-02-2017,24749,2749
Chenab,Qadirabad Barrage,25-02-2017,21000,NIL
Chenab,Qadirabad Barrage,26-02-2017,18000,NIL
Chenab,Qadirabad Barrage,27-02-2017,19204,NIL
Chenab,Qadirabad Barrage,28-02-2017,21175,NIL
Chenab,Trimmu H/W,1-02-2017,15708,15708
Chenab,Trimmu H/W,2-02-2017,13357,13357
Chenab,Trimmu H/W,3-02-2017,8694,8694
Chenab,Trimmu H/W,4-02-2017,NIL,NIL
Chenab,Trimmu H/W,5-02-2017,3022,3022
Chenab,Trimmu H/W,6-02-2017,2462,2462
Chenab,Trimmu H/W,7-02-2017,NIL,NIL
Chenab,Trimmu H/W,8-02-2017,2188,2188
Chenab,Trimmu H/W,9-02-2017,23085,23085
Chenab,Trimmu H/W,10-02-2017,20176,20176
Chenab,Trimmu H/W,11-02-2017,NIL,NIL
Chenab,Trimmu H/W,12-02-2017,2618,NIL
Chenab,Trimmu H/W,13-02-2017,3123,NIL
Chenab,Trimmu H/W,14-02-2017,2400,NIL
Chenab,Trimmu H/W,15-02-2017,2995,NIL
Chenab,Trimmu H/W,16-02-2017,2998,NIL
Chenab,Trimmu H/W,17-02-2017,4325,NIL
Chenab,Trimmu H/W,18-02-2017,4297,NIL
Chenab,Trimmu H/W,19-02-2017,5025,NIL
Chenab,Trimmu H/W,20-02-2017,6217,NIL
Chenab,Trimmu H/W,21-02-2017,6740,NIL
Chenab,Trimmu H/W,22-02-2017,7477,NIL
Chenab,Trimmu H/W,23-02-2017,8089,NIL
Chenab,Trimmu H/W,24-02-2017,5819,NIL
Chenab,Trimmu H/W,25-02-2017,7929,NIL
Chenab,Trimmu H/W,26-02-2017,9700,NIL
Chenab,Trimmu H/W,27-02-2017,9690,NIL
Chenab,Trimmu H/W,28-02-2017,11648,1957
Chenab,Panjnad H/W,1-02-2017,13818,13525
Chenab,Panjnad H/W,2-02-2017,23546,23250
Chenab,Panjnad H/W,3-02-2017,25175,24876
Chenab,Panjnad H/W,4-02-2017,24312,24004
Chenab,Panjnad H/W,5-02-2017,24252,24004
Chenab,Panjnad H/W,6-02-2017,23038,22795
Chenab,Panjnad H/W,7-02-2017,19815,19326
Chenab,Panjnad H/W,8-02-2017,16900,16426
Chenab,Panjnad H/W,9-02-2017,15300,14694
Chenab,Panjnad H/W,10-02-2017,15295,14694
Chenab,Panjnad H/W,11-02-2017,15553,15076
Chenab,Panjnad H/W,12-02-2017,15572,15076
Chenab,Panjnad H/W,13-02-2017,16034,15545
Chenab,Panjnad H/W,14-02-2017,14582,14083
Chenab,Panjnad H/W,15-02-2017,12885,12383
Chenab,Panjnad H/W,16-02-2017,7926,7431
Chenab,Panjnad H/W,17-02-2017,1722,1221
Chenab,Panjnad H/W,18-02-2017,491,NIL
Chenab,Panjnad H/W,19-02-2017,500,NIL
Chenab,Panjnad H/W,20-02-2017,489,NIL
Chenab,Panjnad H/W,21-02-2017,498,NIL
Chenab,Panjnad H/W,22-02-2017,507,NIL
Chenab,Panjnad H/W,23-02-2017,488,NIL
Chenab,Panjnad H/W,24-02-2017,301,NIL
Chenab,Panjnad H/W,25-02-2017,353,NIL
Chenab,Panjnad H/W,26-02-2017,428,NIL
Chenab,Panjnad H/W,27-02-2017,437,NIL
Chenab,Panjnad H/W,28-02-2017,427,NIL
Chenab,Marala H/W,1-03-2017,14504,5000
Chenab,Marala H/W,2-03-2017,12615,5000
Chenab,Marala H/W,3-03-2017,9108,5000
Chenab,Marala H/W,4-03-2017,11499,5000
Chenab,Marala H/W,5-03-2017,11400,5000
Chenab,Marala H/W,6-03-2017,10827,4000
Chenab,Marala H/W,7-03-2017,10900,4000
Chenab,Marala H/W,8-03-2017,9709,3500
Chenab,Marala H/W,9-03-2017,10128,4500
Chenab,Marala H/W,10-03-2017,16130,8984
Chenab,Marala H/W,11-03-2017,21822,14810
Chenab,Marala H/W,12-03-2017,21710,14810
Chenab,Marala H/W,13-03-2017,18797,11897
Chenab,Marala H/W,14-03-2017,11768,4500
Chenab,Marala H/W,15-03-2017,14630,6071
Chenab,Marala H/W,16-03-2017,11681,4500
Chenab,Marala H/W,17-03-2017,11860,4500
Chenab,Marala H/W,18-03-2017,11987,4500
Chenab,Marala H/W,19-03-2017,11000,4500
Chenab,Marala H/W,20-03-2017,11580,4500
Chenab,Marala H/W,21-03-2017,11677,4500
Chenab,Marala H/W,22-03-2017,11775,4500
Chenab,Marala H/W,23-03-2017,11545,4500
Chenab,Marala H/W,24-03-2017,12292,4500
Chenab,Marala H/W,25-03-2017,18275,8986
Chenab,Marala H/W,26-03-2017,14729,6529
Chenab,Marala H/W,27-03-2017,14941,6529
Chenab,Marala H/W,28-03-2017,15103,6529
Chenab,Marala H/W,29-03-2017,18080,9680
Chenab,Marala H/W,30-03-2017,21303,12831
Chenab,Marala H/W,31-03-2017,27533,19133
Chenab,Khanki H/W,1-03-2017,7739,864
Chenab,Khanki H/W,2-03-2017,7166,200
Chenab,Khanki H/W,3-03-2017,7199,233
Chenab,Khanki H/W,4-03-2017,7857,864
Chenab,Khanki H/W,5-03-2017,7166,200
Chenab,Khanki H/W,6-03-2017,5611,242
Chenab,Khanki H/W,7-03-2017,4330,200
Chenab,Khanki H/W,8-03-2017,4955,200
Chenab,Khanki H/W,9-03-2017,6608,200
Chenab,Khanki H/W,10-03-2017,6798,200
Chenab,Khanki H/W,11-03-2017,20081,14774
Chenab,Khanki H/W,12-03-2017,19853,14546
Chenab,Khanki H/W,13-03-2017,20293,14546
Chenab,Khanki H/W,14-03-2017,16899,10890
Chenab,Khanki H/W,15-03-2017,9366,3357
Chenab,Khanki H/W,16-03-2017,7650,1679
Chenab,Khanki H/W,17-03-2017,9218,3358
Chenab,Khanki H/W,18-03-2017,6752,892
Chenab,Khanki H/W,19-03-2017,7783,1679
Chenab,Khanki H/W,20-03-2017,6996,864
Chenab,Khanki H/W,21-03-2017,7177,864
Chenab,Khanki H/W,22-03-2017,7435,925
Chenab,Khanki H/W,23-03-2017,6745,200
Chenab,Khanki H/W,24-03-2017,8219,1669
Chenab,Khanki H/W,25-03-2017,8381,1679
Chenab,Khanki H/W,26-03-2017,22614,15894
Chenab,Khanki H/W,27-03-2017,10064,3358
Chenab,Khanki H/W,28-03-2017,11757,5037
Chenab,Khanki H/W,29-03-2017,10942,4222
Chenab,Khanki H/W,30-03-2017,21266,14546
Chenab,Khanki H/W,31-03-2017,19098,12378
Chenab,Qadirabad Barrage,1-03-2017,18879,NIL
Chenab,Qadirabad Barrage,2-03-2017,21600,NIL
Chenab,Qadirabad Barrage,3-03-2017,20000,NIL
Chenab,Qadirabad Barrage,4-03-2017,20000,NIL
Chenab,Qadirabad Barrage,5-03-2017,20000,NIL
Chenab,Qadirabad Barrage,6-03-2017,18000,NIL
Chenab,Qadirabad Barrage,7-03-2017,18000,NIL
Chenab,Qadirabad Barrage,8-03-2017,18687,NIL
Chenab,Qadirabad Barrage,9-03-2017,17000,NIL
Chenab,Qadirabad Barrage,10-03-2017,17000,NIL
Chenab,Qadirabad Barrage,11-03-2017,27205,5399
Chenab,Qadirabad Barrage,12-03-2017,24749,2749
Chenab,Qadirabad Barrage,13-03-2017,24749,2749
Chenab,Qadirabad Barrage,14-03-2017,20749,2749
Chenab,Qadirabad Barrage,15-03-2017,18000,NIL
Chenab,Qadirabad Barrage,16-03-2017,18000,NIL
Chenab,Qadirabad Barrage,17-03-2017,17495,NIL
Chenab,Qadirabad Barrage,18-03-2017,15450,NIL
Chenab,Qadirabad Barrage,19-03-2017,15450,NIL
Chenab,Qadirabad Barrage,20-03-2017,13000,NIL
Chenab,Qadirabad Barrage,21-03-2017,9293,NIL
Chenab,Qadirabad Barrage,22-03-2017,12956,NIL
Chenab,Qadirabad Barrage,23-03-2017,15996,NIL
Chenab,Qadirabad Barrage,24-03-2017,14000,NIL
Chenab,Qadirabad Barrage,25-03-2017,16000,NIL
Chenab,Qadirabad Barrage,26-03-2017,16900,NIL
Chenab,Qadirabad Barrage,27-03-2017,18000,NIL
Chenab,Qadirabad Barrage,28-03-2017,17800,NIL
Chenab,Qadirabad Barrage,29-03-2017,18520,NIL
Chenab,Qadirabad Barrage,30-03-2017,23399,5399
Chenab,Qadirabad Barrage,31-03-2017,27224,5399
Chenab,Trimmu H/W,1-03-2017,9681,NIL
Chenab,Trimmu H/W,2-03-2017,11095,NIL
Chenab,Trimmu H/W,3-03-2017,8687,NIL
Chenab,Trimmu H/W,4-03-2017,8700,NIL
Chenab,Trimmu H/W,5-03-2017,8700,NIL
Chenab,Trimmu H/W,6-03-2017,8700,NIL
Chenab,Trimmu H/W,7-03-2017,8680,NIL
Chenab,Trimmu H/W,8-03-2017,7102,NIL
Chenab,Trimmu H/W,9-03-2017,6076,NIL
Chenab,Trimmu H/W,10-03-2017,7942,NIL
Chenab,Trimmu H/W,11-03-2017,8700,NIL
Chenab,Trimmu H/W,12-03-2017,7030,NIL
Chenab,Trimmu H/W,13-03-2017,6702,NIL
Chenab,Trimmu H/W,14-03-2017,4441,NIL
Chenab,Trimmu H/W,15-03-2017,4310,NIL
Chenab,Trimmu H/W,16-03-2017,5054,NIL
Chenab,Trimmu H/W,17-03-2017,4665,NIL
Chenab,Trimmu H/W,18-03-2017,3671,NIL
Chenab,Trimmu H/W,19-03-2017,5700,NIL
Chenab,Trimmu H/W,20-03-2017,7823,NIL
Chenab,Trimmu H/W,21-03-2017,4520,NIL
Chenab,Trimmu H/W,22-03-2017,3700,NIL
Chenab,Trimmu H/W,23-03-2017,3159,NIL
Chenab,Trimmu H/W,24-03-2017,3754,NIL
Chenab,Trimmu H/W,25-03-2017,3754,NIL
Chenab,Trimmu H/W,26-03-2017,2562,NIL
Chenab,Trimmu H/W,27-03-2017,1966,NIL
Chenab,Trimmu H/W,28-03-2017,3507,NIL
Chenab,Trimmu H/W,29-03-2017,3507,NIL
Chenab,Trimmu H/W,30-03-2017,3507,NIL
Chenab,Trimmu H/W,31-03-2017,1416,NIL
Chenab,Panjnad H/W,1-03-2017,5.34,NIL
Chenab,Panjnad H/W,2-03-2017,5.34,NIL
Chenab,Panjnad H/W,3-03-2017,5.34,NIL
Chenab,Panjnad H/W,4-03-2017,5.3,NIL
Chenab,Panjnad H/W,5-03-2017,5.34,NIL
Chenab,Panjnad H/W,6-03-2017,5.32,NIL
Chenab,Panjnad H/W,7-03-2017,5.33,NIL
Chenab,Panjnad H/W,8-03-2017,5.33,NIL
Chenab,Panjnad H/W,9-03-2017,5.34,NIL
Chenab,Panjnad H/W,10-03-2017,5.74,NIL
Chenab,Panjnad H/W,11-03-2017,5.79,NIL
Chenab,Panjnad H/W,12-03-2017,5.79,NIL
Chenab,Panjnad H/W,13-03-2017,5.54,NIL
Chenab,Panjnad H/W,14-03-2017,5.57,NIL
Chenab,Panjnad H/W,15-03-2017,4.8,NIL
Chenab,Panjnad H/W,16-03-2017,5.07,NIL
Chenab,Panjnad H/W,17-03-2017,5.32,NIL
Chenab,Panjnad H/W,18-03-2017,5.56,NIL
Chenab,Panjnad H/W,19-03-2017,5.32,NIL
Chenab,Panjnad H/W,20-03-2017,5.5,NIL
Chenab,Panjnad H/W,21-03-2017,5.54,NIL
Chenab,Panjnad H/W,22-03-2017,5.79,NIL
Chenab,Panjnad H/W,23-03-2017,5.32,NIL
Chenab,Panjnad H/W,24-03-2017,Closed,NIL
Chenab,Panjnad H/W,25-03-2017,Closed,NIL
Chenab,Panjnad H/W,26-03-2017,Closed,NIL
Chenab,Panjnad H/W,27-03-2017,Closed,NIL
Chenab,Panjnad H/W,28-03-2017,Closed,NIL
Chenab,Panjnad H/W,29-03-2017,Closed,NIL
Chenab,Panjnad H/W,30-03-2017,Closed,NIL
Chenab,Panjnad H/W,31-03-2017,Closed,NIL
Chenab,Marala H/W,1-04-2017,21438,12831
Chenab,Marala H/W,2-04-2017,21231,12831
Chenab,Marala H/W,3-04-2017,18191,9680
Chenab,Marala H/W,4-04-2017,22314,12831
Chenab,Marala H/W,5-04-2017,19789,9680
Chenab,Marala H/W,6-04-2017,24080,9680
Chenab,Marala H/W,7-04-2017,71803,56945
Chenab,Marala H/W,8-04-2017,46137,31737
Chenab,Marala H/W,9-04-2017,30682,15982
Chenab,Marala H/W,10-04-2017,24858,9680
Chenab,Marala H/W,11-04-2017,24760,9680
Chenab,Marala H/W,12-04-2017,23648,6529
Chenab,Marala H/W,13-04-2017,27531,12831
Chenab,Marala H/W,14-04-2017,30788,12831
Chenab,Marala H/W,15-04-2017,31640,15982
Chenab,Marala H/W,16-04-2017,35333,19133
Chenab,Marala H/W,17-04-2017,41125,22284
Chenab,Marala H/W,18-04-2017,40484,22284
Chenab,Marala H/W,19-04-2017,44325,25435
Chenab,Marala H/W,20-04-2017,52269,30552
Chenab,Marala H/W,21-04-2017,52892,30552
Chenab,Marala H/W,22-04-2017,56723,33923
Chenab,Marala H/W,23-04-2017,54102,30552
Chenab,Marala H/W,24-04-2017,44871,20439
Chenab,Marala H/W,25-04-2017,38705,13697
Chenab,Marala H/W,26-04-2017,35626,10326
Chenab,Marala H/W,27-04-2017,30281,4500
Chenab,Marala H/W,28-04-2017,33026,10326
Chenab,Marala H/W,29-04-2017,28199,5376
Chenab,Marala H/W,30-04-2017,23076,5376
Chenab,Khanki H/W,1-04-2017,24885,18184
Chenab,Khanki H/W,2-04-2017,22128,15396
Chenab,Khanki H/W,3-04-2017,21923,15191
Chenab,Khanki H/W,4-04-2017,21278,14546
Chenab,Khanki H/W,5-04-2017,17643,10896
Chenab,Khanki H/W,6-04-2017,21222,14546
Chenab,Khanki H/W,7-04-2017,68734,62184
Chenab,Khanki H/W,8-04-2017,57191,51066
Chenab,Khanki H/W,9-04-2017,42705,36580
Chenab,Khanki H/W,10-04-2017,20854,14749
Chenab,Khanki H/W,11-04-2017,19363,13238
Chenab,Khanki H/W,12-04-2017,9631,3358
Chenab,Khanki H/W,13-04-2017,9028,2543
Chenab,Khanki H/W,14-04-2017,22410,15860
Chenab,Khanki H/W,15-04-2017,21912,15344
Chenab,Khanki H/W,16-04-2017,23820,17088
Chenab,Khanki H/W,17-04-2017,27203,20483
Chenab,Khanki H/W,18-04-2017,29270,22550
Chenab,Khanki H/W,19-04-2017,30352,23676
Chenab,Khanki H/W,20-04-2017,33397,26745
Chenab,Khanki H/W,21-04-2017,36986,30310
