Rivers,Gauge Sites,Date,Up Stream,Down Stream
INDUS,Kalabagh,15-Jun-19,148191,141191
INDUS,Chashma,15-Jun-19,176511,170011
INDUS,Taunsa,15-Jun-19,162207,145175
INDUS,Guddu,15-Jun-19,91613,70374
INDUS,Sukkar,15-Jun-19,62480,26760
INDUS,Kotri,15-Jun-19,15385,Nil
JHELUM,Kotli,15-Jun-19,-,4400
JHELUM,Mangla,15-Jun-19,60000,75000
JHELUM,Rasul,15-Jun-19,60995,39230
CHENAB,Jammu Tavi,15-Jun-19,,
CHENAB,Marala,15-Jun-19,41387,11512
CHENAB,Khanki,15-Jun-19,19797,12455
CHENAB,Qadirabad,15-Jun-19,37353,18353
CHENAB,Trimmu,15-Jun-19,27691,17091
CHENAB,Punjnad,15-Jun-19,10526,
RAVI,Jassar,15-Jun-19,-,5337
RAVI,Balloki,15-Jun-19,,
RAVI,Sidhnai,15-Jun-19,,
SUTLEJ,Sulemanki,15-Jun-19,18836,7533
SUTLEJ,Islam,15-Jun-19,5866,4866
INDUS,Kalabagh,15-Jun-19,174569,167569
INDUS,Chashma,15-Jun-19,176764,170264
INDUS,Taunsa,15-Jun-19,162407,145175
INDUS,Guddu,15-Jun-19,91613,70374
INDUS,Sukkar,15-Jun-19,62480,26760
INDUS,Kotri,15-Jun-19,15385,NIL
JHELUM,Kotli,15-Jun-19,-,4270
JHELUM,Mangla,15-Jun-19,59800,88487
JHELUM,Rasul,15-Jun-19,65150,43135
CHENAB,Jammu Tavi,15-Jun-19,_,_
CHENAB,Marala,15-Jun-19,45161,15286
CHENAB,Khanki,15-Jun-19,23017,15626
CHENAB,Qadirabad,15-Jun-19,32172,13172
CHENAB,Trimmu,15-Jun-19,27691,17091
CHENAB,Punjnad,15-Jun-19,10526,NIL
RAVI,Jassar,15-Jun-19,-,10709
RAVI,Balloki,15-Jun-19,34645,10845
RAVI,Sidhnai,15-Jun-19,NR,NR
SUTLEJ,Sulemanki,15-Jun-19,18890,7533
SUTLEJ,Islam,15-Jun-19,5866,4866
INDUS,Kalabagh,15-Jun-19,174569,167569
INDUS,Chashma,15-Jun-19,176600,170100
INDUS,Taunsa,15-Jun-19,162407,145175
INDUS,Guddu,15-Jun-19,91613,70374
INDUS,Sukkar,15-Jun-19,62480,26760
INDUS,Kotri,15-Jun-19,15385,NIL
JHELUM,Kotli,15-Jun-19,,4150
JHELUM,Mangla,15-Jun-19,69000,88487
JHELUM,Rasul,15-Jun-19,65150,43135
CHENAB,Jammu Tavi,15-Jun-19,-,-
CHENAB,Marala,15-Jun-19,45161,15286
CHENAB,Khanki,15-Jun-19,19845,12455
CHENAB,Qadirabad,15-Jun-19,34745,15745
CHENAB,Trimmu,15-Jun-19,29730,19130
CHENAB,Punjnad,15-Jun-19,10526,Nil
RAVI,Jassar,15-Jun-19,-,10709
RAVI,Balloki,15-Jun-19,34645,10845
RAVI,Sidhnai,15-Jun-19,15667,2317
SUTLEJ,Sulemanki,15-Jun-19,18890,7533
SUTLEJ,Islam,15-Jun-19,5866,4866
INDUS,Kalabagh,16-Jun-19,151055,144055
INDUS,Chashma,16-Jun-19,176488,169988
INDUS,Taunsa,16-Jun-19,162407,145175
INDUS,Guddu,16-Jun-19,91613,70374
INDUS,Sukkar,16-Jun-19,62550,26200
INDUS,Kotri,16-Jun-19,15445,Nil
JHELUM,Kotli,16-Jun-19,,4020
JHELUM,Mangla,16-Jun-19,60000,88487
JHELUM,Rasul,16-Jun-19,69055,47040
CHENAB,Jammu Tavi,16-Jun-19,,
CHENAB,Marala,16-Jun-19,41387,11512
CHENAB,Khanki,16-Jun-19,14490,7100
CHENAB,Qadirabad,16-Jun-19,37353,18353
CHENAB,Trimmu,16-Jun-19,29730,19130
CHENAB,Punjnad,16-Jun-19,10526,Nil
RAVI,Jassar,16-Jun-19,-,9219
RAVI,Balloki,16-Jun-19,33770,9970
RAVI,Sidhnai,16-Jun-19,15667,2317
SUTLEJ,Sulemanki,16-Jun-19,18041,6331
SUTLEJ,Islam,16-Jun-19,5866,4866
INDUS,Kalabagh,16-Jun-19,164574,157574
INDUS,Chashma,16-Jun-19,176753,170253
INDUS,Taunsa,16-Jun-19,155817,139277
INDUS,Guddu,16-Jun-19,93381,71069
INDUS,Sukkar,16-Jun-19,62550,26200
INDUS,Kotri,16-Jun-19,15445,Nil
JHELUM,Kotli,16-Jun-19,-,4150
JHELUM,Mangla,16-Jun-19,56700,85000
JHELUM,Rasul,16-Jun-19,80770,58755
CHENAB,Jammu Tavi,16-Jun-19,,
CHENAB,Marala,16-Jun-19,45161,15286
CHENAB,Khanki,16-Jun-19,13625,6235
CHENAB,Qadirabad,16-Jun-19,28299,9299
CHENAB,Trimmu,16-Jun-19,29730,19130
CHENAB,Punjnad,16-Jun-19,12234,Nil
RAVI,Jassar,16-Jun-19,-,4999
RAVI,Balloki,16-Jun-19,33770,9970
RAVI,Sidhnai,16-Jun-19,15667,2317
SUTLEJ,Sulemanki,16-Jun-19,18041,6331
SUTLEJ,Islam,16-Jun-19,5597,3597
INDUS,Kalabagh,16-Jun-19,164574,157574
INDUS,Chashma,16-Jun-19,175281,169901
INDUS,Taunsa,16-Jun-19,157103,140428
INDUS,Guddu,16-Jun-19,93381,71069
INDUS,Sukkar,16-Jun-19,62550,26200
INDUS,Kotri,16-Jun-19,15445,NIL
JHELUM,Kotli,16-Jun-19,-,4020
JHELUM,Mangla,16-Jun-19,57000,85000
JHELUM,Rasul,16-Jun-19,80770,58755
CHENAB,Jammu Tavi,16-Jun-19,-,-
CHENAB,Marala,16-Jun-19,45161,15286
CHENAB,Khanki,16-Jun-19,13625,6235
CHENAB,Qadirabad,16-Jun-19,28299,9299
CHENAB,Trimmu,16-Jun-19,31775,21175
CHENAB,Punjnad,16-Jun-19,12234,NIL
RAVI,Jassar,16-Jun-19,-,4829
