River,Gauge Site,Date,Up Stream,Down Stream
INDUS,Kalabagh,15-Jun-22,90969,87969
INDUS,Chashma,15-Jun-22,111475,104966
INDUS,Taunsa,15-Jun-22,97322,87805
INDUS,Guddu,15-Jun-22,52552,43240
INDUS,Sukkar,15-Jun-22,41890,16510
INDUS,Kotri,15-Jun-22,9914,115
JHELUM,Kotli,15-Jun-22,-,1230
JHELUM,Mangla,15-Jun-22,26000,20315
JHELUM,Rasul,15-Jun-22,17240,15800
CHENAB,Marala,15-Jun-22,31382,21382
CHENAB,Khanki,15-Jun-22,NR,NR
CHENAB,Qadirabad,15-Jun-22,NR,NR
CHENAB,Trimmu,15-Jun-22,15064,Nil
CHENAB,Punjnad,15-Jun-22,2784,Nil
RAVI,Jassar,15-Jun-22,-,4154
RAVI,Shahdara,15-Jun-22,-,284
RAVI,Balloki,15-Jun-22,1400,-
RAVI,Sidhnai,15-Jun-22,8350,-
SUTLEJ,Sulemanki,15-Jun-22,7540,-
SUTLEJ,Islam,15-Jun-22,500,-
INDUS,Kalabagh,15-Jun-22,90969,87969
INDUS,Chashma,15-Jun-22,110242,105142
INDUS,Taunsa,15-Jun-22,97322,87805
INDUS,Guddu,15-Jun-22,52552,43240
INDUS,Sukkar,15-Jun-22,41890,16510
INDUS,Kotri,15-Jun-22,9914,115
JHELUM,Kotli,15-Jun-22,-,1370
JHELUM,Mangla,15-Jun-22,25000,27515
JHELUM,Rasul,15-Jun-22,17240,15800
CHENAB,Marala,15-Jun-22,31382,21382
CHENAB,Khanki,15-Jun-22,NR,NR
CHENAB,Qadirabad,15-Jun-22,NR,NR
CHENAB,Trimmu,15-Jun-22,15064,Nil
CHENAB,Punjnad,15-Jun-22,2784,Nil
RAVI,Jassar,15-Jun-22,-,4154
RAVI,Shahdara,15-Jun-22,-,284
RAVI,Balloki,15-Jun-22,1400,-
RAVI,Sidhnai,15-Jun-22,8350,-
SUTLEJ,Sulemanki,15-Jun-22,7540,-
SUTLEJ,Islam,15-Jun-22,500,-
INDUS,Kalabagh,15-Jun-22,90969,87969
INDUS,Chashma,15-Jun-22,110100,105000
INDUS,Taunsa,15-Jun-22,97322,87805
INDUS,Guddu,15-Jun-22,52552,43240
INDUS,Sukkar,15-Jun-22,41890,16510
INDUS,Kotri,15-Jun-22,9914,115
JHELUM,Kotli,15-Jun-22,-,1230
JHELUM,Mangla,15-Jun-22,20000,28315
JHELUM,Rasul,15-Jun-22,17240,15800
CHENAB,Marala,15-Jun-22,31382,21382
CHENAB,Khanki,15-Jun-22,NR,NR
CHENAB,Qadirabad,15-Jun-22,NR,NR
CHENAB,Trimmu,15-Jun-22,15064,Nil
CHENAB,Punjnad,15-Jun-22,2784,Nil
RAVI,Jassar,15-Jun-22,-,4154
RAVI,Shahdara,15-Jun-22,-,284
RAVI,Balloki,15-Jun-22,1400,-
RAVI,Sidhnai,15-Jun-22,8350,-
SUTLEJ,Sulemanki,15-Jun-22,7540,-
SUTLEJ,Islam,15-Jun-22,500,-
INDUS,Kalabagh,16-Jun-22,90969,87969
INDUS,Chashma,16-Jun-22,109208,104804
INDUS,Taunsa,16-Jun-22,97322,87805
INDUS,Guddu,16-Jun-22,55000,45688
INDUS,Sukkar,16-Jun-22,40890,16250
INDUS,Kotri,16-Jun-22,10034,115
JHELUM,Kotli,16-Jun-22,-,1520
JHELUM,Mangla,16-Jun-22,20000,25015
JHELUM,Rasul,16-Jun-22,17240,15800
CHENAB,Marala,16-Jun-22,31382,21382
CHENAB,Khanki,16-Jun-22,NR,NR
CHENAB,Qadirabad,16-Jun-22,NR,NR
CHENAB,Trimmu,16-Jun-22,15064,Nil
CHENAB,Punjnad,16-Jun-22,2784,Nil
RAVI,Jassar,16-Jun-22,-,4154
RAVI,Shahdara,16-Jun-22,-,284
RAVI,Balloki,16-Jun-22,1400,-
RAVI,Sidhnai,16-Jun-22,8350,-
SUTLEJ,Sulemanki,16-Jun-22,7540,-
SUTLEJ,Islam,16-Jun-22,500,-
INDUS,Kalabagh,16-Jun-22,80342,77342
INDUS,Chashma,16-Jun-22,110044,104944
INDUS,Taunsa,16-Jun-22,97322,87805
INDUS,Guddu,16-Jun-22,55000,45688
INDUS,Sukkar,16-Jun-22,40890,16250
INDUS,Kotri,16-Jun-22,10034,115
JHELUM,Kotli,16-Jun-22,-,1520
JHELUM,Mangla,16-Jun-22,23000,21215
JHELUM,Rasul,16-Jun-22,17240,15800
CHENAB,Marala,16-Jun-22,27092,17192
CHENAB,Khanki,16-Jun-22,19724,14724
CHENAB,Qadirabad,16-Jun-22,14428,-
CHENAB,Trimmu,16-Jun-22,17300,2100
CHENAB,Punjnad,16-Jun-22,2784,-
RAVI,Jassar,16-Jun-22,-,4154
RAVI,Shahdara,16-Jun-22,-,284
RAVI,Balloki,16-Jun-22,NR,14000
RAVI,Sidhnai,16-Jun-22,11300,-
SUTLEJ,Sulemanki,16-Jun-22,7540,-
SUTLEJ,Islam,16-Jun-22,-,435
INDUS,Kalabagh,16-Jun-22,85459,82459
INDUS,Chashma,16-Jun-22,117744,113440
INDUS,Taunsa,16-Jun-22,96066,86668
INDUS,Guddu,16-Jun-22,55000,45688
INDUS,Sukkar,16-Jun-22,40890,16250
INDUS,Kotri,16-Jun-22,10034,115
JHELUM,Kotli,16-Jun-22,-,1680
JHELUM,Mangla,16-Jun-22,27000,21215
JHELUM,Rasul,16-Jun-22,13335,11895
CHENAB,Marala,16-Jun-22,31282,21382
CHENAB,Khanki,16-Jun-22,21737,16737
CHENAB,Qadirabad,16-Jun-22,14428,NIL
CHENAB,Trimmu,16-Jun-22,17300,2100
CHENAB,Punjnad,16-Jun-22,2784,NIL
RAVI,Jassar,16-Jun-22,-,4154
RAVI,Shahdara,16-Jun-22,-,283
RAVI,Balloki,16-Jun-22,14000,NIL
RAVI,Sidhnai,16-Jun-22,11300,NIL
SUTLEJ,Sulemanki,16-Jun-22,6695,NIL
SUTLEJ,Islam,16-Jun-22,435,NIL
INDUS,Kalabagh,16-Jun-22,111776,108476
INDUS,Chashma,16-Jun-22,116724,113020
INDUS,Taunsa,16-Jun-22,96066,86668
INDUS,Guddu,16-Jun-22,55000,45688
INDUS,Sukkar,16-Jun-22,40890,16250
INDUS,Kotri,16-Jun-22,10034,115
JHELUM,Kotli,16-Jun-22,-,2020
JHELUM,Mangla,16-Jun-22,NR,NR
JHELUM,Rasul,16-Jun-22,13335,11895
CHENAB,Marala,16-Jun-22,39662,29762
CHENAB,Khanki,16-Jun-22,25817,20817
CHENAB,Qadirabad,16-Jun-22,15520,NIL
CHENAB,Trimmu,16-Jun-22,16606,1406
CHENAB,Punjnad,16-Jun-22,2919,NIL
RAVI,Jassar,16-Jun-22,-,4154
RAVI,Shahdara,16-Jun-22,-,284
RAVI,Balloki,16-Jun-22,13000,NIL
RAVI,Sidhnai,16-Jun-22,11000,NIL
SUTLEJ,Sulemanki,16-Jun-22,6695,NIL
SUTLEJ,Islam,16-Jun-22,435,NIL
INDUS,Kalabagh,17-Jun-22,90079,86079
INDUS,Chashma,17-Jun-22,103658,99558
INDUS,Taunsa,17-Jun-22,96066,86668
INDUS,Guddu,17-Jun-22,57354,47832
INDUS,Sukkar,17-Jun-22,40890,16250
INDUS,Kotri,17-Jun-22,10034,115
JHELUM,Kotli,17-Jun-22,-,2600
JHELUM,Mangla,17-Jun-22,29000,22315
JHELUM,Rasul,17-Jun-22,13335,11895
CHENAB,Marala,17-Jun-22,35472,25572
CHENAB,Khanki,17-Jun-22,25817,20817
CHENAB,Qadirabad,17-Jun-22,16870,NIL
CHENAB,Trimmu,17-Jun-22,16606,1406
CHENAB,Punjnad,17-Jun-22,3331,NIL
RAVI,Jassar,17-Jun-22,-,4154
RAVI,Shahdara,17-Jun-22,-,284
RAVI,Balloki,17-Jun-22,12500,NIL
RAVI,Sidhnai,17-Jun-22,11000,NIL
