River,Gauge Site,Date,Time,Up Stream Gauge,Up Stream ,Down Stream Gauge,Down Stream,Flood Limit in Lac Cusecs (Low),Flood Limit in Lac Cusecs (Med),Flood Limit in Lac Cusecs (High),Flood Limit in Lac Cusecs     (V High),Remarks
INDUS,khairabad,15-Jun-24,12:00 Hrs,-,-,12.5,162900,2.25,3.75,5,6.5,Normal
INDUS,Kalabagh,15-Jun-24,12:00 Hrs,692,90969,677.5,87969,2.5,3.75,5,6.5,Normal
INDUS,Chashma,15-Jun-24,12:00 Hrs,646.9,191475,613.8,185075,2.5,3.75,5,6.5,Normal
INDUS,Taunsa,15-Jun-24,12:00 Hrs,446.5,97322,427.1,87805,2.5,3.75,5,6.5,Normal
INDUS,Guddu,15-Jun-24,12:00 Hrs,258.1,130767,248.5,103983,2,3.5,5,7,Normal
INDUS,Sukkar,15-Jun-24,12:00 Hrs,199.5,96340,189.2,48755,2,3.5,5,7,Normal
INDUS,Kotri,15-Jun-24,12:00 Hrs,69.9,58372,46.6,17717,2.5,4,5,6.5,Normal
JHELUM,Kotli,15-Jun-24,12:00 Hrs,-,-,7.5,2600,-,-,-,-,-
JHELUM,Rasul,15-Jun-24,12:00 Hrs,719,17240,697,15800,0.75,1.1,1.5,2.25,Normal
CHENAB,Marala,15-Jun-24,12:00 Hrs,812,31382,798.6,21382,1,1.5,2,4,Normal
CHENAB,Khanki,15-Jun-24,12:00 Hrs,733,14464,719.6,70464,1,1.5,2,4,Normal
CHENAB,Qadirabad,15-Jun-24,12:00 Hrs,700,24423,684.6,4898,1,1.5,2,4,Normal
CHENAB,Trimmu,15-Jun-24,12:00 Hrs,490.5,309,481.2,13576,1.5,2,3,4.5,Normal
CHENAB,Punjnad,15-Jun-24,12:00 Hrs,337.5,2784,321.8,-,1.5,2,3,4.5,Normal
RAVI,Jassar,15-Jun-24,12:00 Hrs,-,-,775.7,1847,0.5,0.75,1,1.5,Normal
RAVI,Shahdara,15-Jun-24,12:00 Hrs,-,-,670.4,4429,0.4,0.65,0.9,1.35,Normal
RAVI,Balloki,15-Jun-24,12:00 Hrs,633,27690,618.1,15190,0.4,0.65,0.9,1.35,Normal
RAVI,Sidhnai,15-Jun-24,12:00 Hrs,467,10600,451,-,0.3,0.45,0.6,0.9,Normal
SUTLEJ,Bhakara**,15-Jun-24,12:00 Hrs,-,-,-,-,-,-,-,-,-
SUTLEJ,Sulemanki,15-Jun-24,12:00 Hrs,569,11772,558,2001,0.5,0.8,1.2,1.75,Normal
SUTLEJ,Islam,15-Jun-24,12:00 Hrs,,,,-,0.5,0.8,1.2,1.75,Normal
INDUS,khairabad,15-Jun-24,18:00 Hrs,-,-,10.5,131900,2.25,3.75,5,6.5,Normal
INDUS,Kalabagh,15-Jun-24,18:00 Hrs,693.5,196110,679.8,188354,2.5,3.75,5,6.5,Normal
INDUS,Chashma,15-Jun-24,18:00 Hrs,646.8,191426,613.8,185026,2.5,3.75,5,6.5,Normal
INDUS,Taunsa,15-Jun-24,18:00 Hrs,446.7,177748,429.2,153451,2.5,3.75,5,6.5,Normal
INDUS,Guddu,15-Jun-24,18:00 Hrs,258.1,130767,248.5,103983,2,3.5,5,7,Normal
