River,Gauge Site,Date,Time,Up Stream Gauge,Up Stream Discharge,Down Stream Gauge,Down Stream Discharge,Flood Limit in Lac Cusecs (Low),Flood Limit in Lac Cusecs (Med),Flood Limit in Lac Cusecs (High),Flood Limit in Lac Cusecs     (V High),Flood Limit in Lac Cusecs     (Except. High),Remarks,,
KABUL,Nowshehra,15-Jun-2025,12:00 Hrs,-,-,5.38,24700,0.60,0.80,1.00,1.20,,Normal,,
INDUS,Tarbela,15-Jun-2025,12:00 Hrs,1449.29,178000,-,151700,2.50,3.75,5.00,6.50,,Normal,,
INDUS,khairabad,15-Jun-2025,12:00 Hrs,-,-,14.10,169400,2.25,3.75,5.00,6.50,8.00,Normal,,
INDUS,Kalabagh,15-Jun-2025,12:00 Hrs,-,-,-,-,2.50,3.75,5.00,6.50,8.00,Normal,,
INDUS,Chashma,15-Jun-2025,12:00 Hrs,643.90,192904,613.30,178424,2.50,3.75,5.00,6.50,8.00,Normal,,
INDUS,Taunsa,15-Jun-2025,12:00 Hrs,-,-,-,-,2.50,3.75,5.00,6.50,,Normal,,
INDUS,Ghazi ghat*,15-Jun-2025,12:00 Hrs,-,-,-,-,-,-,-,-,-,-,,
INDUS,Guddu,15-Jun-2025,12:00 Hrs,-,-,-,-,2.00,3.50,5.00,7.00,9.00,Normal,,
INDUS,Sukkar,15-Jun-2025,12:00 Hrs,-,-,-,-,2.00,3.50,5.00,7.00,,Normal,,
INDUS,Kotri,15-Jun-2025,12:00 Hrs,-,-,-,-,2.50,4.00,5.00,6.50,8.00,Normal,,
JHELUM,Kotli,15-Jun-2025,12:00 Hrs,-,-,7.30,2200,-,-,-,-,-,-,,
JHELUM,Chattar kalas,15-Jun-2025,12:00 Hrs,-,-,15.60,26320,1.00,1.50,2.00,3.00,-,Normal,,
JHELUM,Mangla,15-Jun-2025,12:00 Hrs,1166.60,35000,-,20000,0.75,1.10,1.50,2.25,,Normal,,
JHELUM,Rasul,15-Jun-2025,12:00 Hrs,-,-,-,-,0.75,1.10,1.50,2.25,,Normal,,
JHELUM,Khushab bridge,15-Jun-2025,12:00 Hrs,-,-,-,-,-,-,-,-,-,-,,
CHENAB,Marala,15-Jun-2025,12:00 Hrs,-,-,-,-,1.00,1.50,2.00,4.00,6.00,Normal,,
